Date,Issuer,Symbol, Managers,OfferP,OpeningP,FirstDayClose,ScoopStars,txtfile
6/1/2006,Alphatec Holdings ,ATEC,Deutsche Bank/First Albany,$9.00 ,$9.00 ,$8.98 ,1,0001047469-06-007985.txt
6/12/2006,Verigy Ltd. ,VRGY,Goldman Sachs/Credit Suisse,$15.00 ,$15.05 ,$14.25 ,1,0001047469-06-008347.txt
6/14/2006,Houston Wire & Cable ,HWCC,William Blair/Robert W. Baird,$13.00 ,$16.00 ,$15.21 ,2,0001047469-06-008440.txt
6/20/2006,Techwell ,TWLL,Lehman Brothers/Cowen,$9.00 ,$9.00 ,$8.75 ,1,0001047469-06-008720.txt
8/3/2006,Osiris Therapeutics,OSIR,Jefferies,$11.00 ,$11.00 ,$11.00 ,2,0001047469-06-010364.txt
8/3/2006,Buckeye GP Holdings L.P. ,BGH,Goldman Sachs/Merrill Lynch/Citigroup/UBS Investment Bank,$17.00 ,$16.75 ,$16.23 ,1,0001047469-06-010382.txt
9/19/2006,"Hiland Holdings GP, LP",HPGP,Lehman Brothers/AG Edwards,$18.50 ,$19.00 ,$19.25 ,1,0001047469-06-011942.txt
9/21/2006,DivX ,DIVX,JPMorgan,$16.00 ,$19.50 ,$18.70 ,4,0001047469-06-011998.txt
9/28/2006,Bare Escentuals ,BARE,Goldman Sachs/CIBC World Markets,$22.00 ,$28.00 ,$27.15 ,3,0001047469-06-012229.txt
10/3/2006,BreitBurn Energy Partners L.P. ,BBEP,RBC Capital Markets/Citigroup,$18.50 ,$18.20 ,$18.21 ,1,0001047469-06-012455.txt
10/12/2006,Acme Packet ,APKT,Goldman Sachs/Credit Suisse,$9.50 ,$14.00 ,$15.91 ,3,0001047469-06-012761.txt
10/17/2006,Stanley ,SXE,Citigroup/Wachovia,$13.00 ,$16.50 ,$15.50 ,3,0001047469-06-012896.txt
11/2/2012,"Southcross Energy Partners, L.P ",SXE,Citigroup/ Wells Fargo Securities/ Barclays/ J.P. Morgan,$20.00 ,$22.00 ,$22.35 ,2,0001047469-06-012896.txt
10/23/2006,Douglas Emmett ,DEI,Lehman Brothers/Merrill Lynch/Citigroup,$21.00 ,$23.75 ,$23.65 ,3,0001047469-06-013093.txt
10/26/2006,Optium ,OPTM,Morgan Stanley/Credit Suisse,$17.50 ,$21.25 ,$19.60 ,2,0001047469-06-013191.txt
11/1/2006,Globalstar ,GSAT,Wachovia/JPMorgan,$17.00 ,$17.01 ,$17.52 ,2,0001047469-06-013495.txt
11/8/2006,Physicians Formula Holdings ,FACE,Deutsche Bank/Citigroup,$17.00 ,$20.00 ,$19.72 ,2,0001047469-06-013820.txt
11/8/2006,OneBeacon Insurance Group ,OB,Lehman Brothers,$25.00 ,$26.00 ,$26.01 ,3,0001047469-06-013845.txt
11/8/2006,KBW ,KBW,Keefe Bruyette & Woods/Merrill Lynch,$21.00 ,$26.00 ,$26.83 ,3,0001047469-06-013853.txt
11/9/2006,ACA Capital Holdings ,ACA,Credit Suisse/JPMorgan/Bear Stearns,$13.00 ,$13.00 ,$12.85 ,1,0001047469-06-013877.txt
11/9/2006,Metabolix ,MBLX,Piper Jaffray,$14.00 ,$14.25 ,$15.52 ,1,0001047469-06-013883.txt
11/15/2006,Hertz Global Holdings ,HTZ,Goldman Sachs/Lehman Brothers/Merrill Lynch,$15.00 ,$15.00 ,$15.72 ,1,0001047469-06-014277.txt
11/16/2006,Venoco ,VQ,Credit Suisse/Lehman Brothers/JPMorgan,$17.00 ,$17.00 ,$17.00 ,1,0001047469-06-014316.txt
11/20/2006,Willdan Group ,WLDN,Wedbush Morgan Securities,$10.00 ,$10.11 ,$10.56 ,1,0001047469-06-014393.txt
12/7/2006,Allegiant Travel ,ALGT,Merrill Lynch,$18.00 ,$24.00 ,$25.10 ,3,0001047469-06-014859.txt
12/7/2006,Heelys ,HLYS,Bear Stearns/Wachovia,$21.00 ,$30.30 ,$32.60 ,4,0001047469-06-014884.txt
12/13/2006,Obagi Medical Products ,OMPI,JPMorgan,$11.00 ,$11.05 ,$10.05 ,1,0001047469-06-014992.txt
12/14/2006,Affymax ,AFFY,Morgan Stanley,$25.00 ,$30.00 ,$33.88 ,2,0001047469-06-015042.txt
12/19/2006,Dayton Superior ,DSUP,Robert W. Baird,$12.00 ,$12.00 ,$11.50 ,1,0001047469-06-015132.txt
1/18/2007,MV Oil Trust ,MVO,Raymond James,$20.00 ,$21.50 ,$22.37 ,2,0001047469-07-000260.txt
10/12/2005,Double Hull Tankers ,DHT,Merrill Lynch/UBS Investment Bank,$12.00 ,$12.00 ,$12.05 ,1,0001047469-07-000340.txt
1/31/2007,XTENT ,XTNT,Piper Jaffray,$16.00 ,$16.15 ,$16.48 ,2,0001047469-07-000552.txt
2/5/2007,Synta Pharmaceuticals ,SNTA,Bear Stearns/Lehman Brothers,$10.00 ,$10.00 ,$9.09 ,1,0001047469-07-000713.txt
2/7/2007,Accuray ,ARAY,JPMorgan/UBS Investment Bank,$18.00 ,$21.00 ,$28.47 ,3,0001047469-07-000785.txt
2/8/2007,Optimer Pharmaceuticals ,OPTR,Piper Jaffray/Jefferies,$7.00 ,$7.50 ,$8.50 ,1,0001047469-07-000866.txt
3/29/2007,Flagstone Reinsurance Holdings ,FSR,Lehman Brothers/Citigroup,$13.50 ,$13.50 ,$13.48 ,2,0001047469-07-002361.txt
5/9/2007,AECOM Technology ,ACM,Morgan Stanley/Merrill Lynch/UBS Investment Bank,$20.00 ,$21.00 ,$21.10 ,3,0001047469-07-004023.txt
5/14/2007,Pinnacle Gas Resources ,PINN,Friedman Billings Ramsey,$9.00 ,$8.75 ,$8.59 ,1,0001047469-07-004282.txt
5/16/2007,TechTarget ,TTGT,Morgan Stanley/Lehman Brothers,$13.00 ,$14.50 ,$14.79 ,3,0001047469-07-004410.txt
